2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,SERBO-CROATIAN                ,041,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,LAOTIAN                       ,028,6,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,RUNDI/GEORGIAN/OSSETIAN                          ,082,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CHINESE                       ,007,7,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,ROMANIAN                      ,039,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,VIETNAMESE                    ,051,28,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,RUSSIAN                       ,040,8,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,AMHARIC                       ,063,11,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,UKRANIAN                      ,049,5,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,CUTCHI                        ,010,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
09-10,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT,PERSIAN                       ,013,1,02,Anoka                                        ,11,2,County Metro Area excluding MPLS/STP
